SampName,SampNo,MeasNo,MeasDate,ListDate,Filename,S-DOB,S-Remark,Meas-Rmk,Site,Energy-I-Code,Integr.Time,ControlfileNo,Ctrlf-Name,Sigma,Support,Threshold,Unit,Data-Threshold,VOX-TV,VOX-BV,VOX-BV/TV,Conn-Dens.,TRI-SMI,DT-Tb.N,DT-Tb.Th,DT-Tb.Sp,DT-Tb.(1/N).SD,DT-Tb.Th.SD,DT-Tb.Sp.SD,Mean1,Mean2,Mean3,Mean4,Mean5,Mean-Units,TRI-TV,TRI-BV,TRI-BV/TV,TRI-BS,TRI-BS/BV,TRI-Tb.N,TRI-Tb.Th,TRI-Tb.Sp,TRI-DA,TRI-|H1|,TRI-|H2|,TRI-|H3|,TRI-H1x,TRI-H1y,TRI-H1z,TRI-H2x,TRI-H2y,TRI-H2z,TRI-H3x,TRI-H3y,TRI-H3z,El-Siz-X,El-Siz-Y,El-Siz-Z,Dim-X,Dim-Y,Dim-Z,Pos-X,Pos-Y,Pos-Z,MeasNumSlices,OperatorMeas,OperatorEval,CTDI[mGy],RAW-Dir,RAW-Label,IMA-Dir,IMA-Label,ScannerID
pilot 1372_femurspine,10785,31732,9/3/2024 12:18,9/23/2024 13:30,V0031563,,,,Custom,E2_Imax,300,B31732,Spine ex-vivo,0.8,2,220,6,7208,0.9396,0.3615,0.3848,-,~   -0.292,-,0.0714,0.1954,-,0.0248,0.0859,287.4752,814.0673,-,-,-,[mg HA/ccm],~    1.553,~    0.363,~    0.233,~   11.098,~   30.554,~    3.572,~    0.065,~    0.214,~    2.710,~    0.127,~    0.344,~    0.147,~    0.057,~   -0.112,~    0.017,~   -0.026,~    0.038,~    0.341,~   -0.130,~   -0.067,~   -0.002,0.0105,0.0105,0.0105,180,164,47,776,901,165,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010785.00031732],,DK0:[MICROCT.DATA.00010785.00031732],,5071
pilot 1371_femurspine,10784,31729,9/3/2024 11:12,9/23/2024 13:30,V0031560,,,,Custom,E2_Imax,300,B31729,Spine ex-vivo,0.8,2,220,6,7208,0.9848,0.3941,0.4002,-,~    0.220,-,0.0943,0.2222,-,0.0415,0.0796,309.3063,839.2061,-,-,-,[mg HA/ccm],~    2.100,~    0.392,~    0.186,~   10.095,~   25.723,~    2.402,~    0.077,~    0.338,~    2.147,~    0.155,~    0.332,~    0.167,~   -0.105,~   -0.112,~    0.016,~    0.020,~    0.030,~    0.330,~   -0.122,~    0.114,~   -0.002,0.0105,0.0105,0.0105,188,212,47,685,879,165,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010784.00031729],,DK0:[MICROCT.DATA.00010784.00031729],,5071
pilot 1373_femurspine,10786,31735,9/3/2024 13:33,9/23/2024 13:31,V0031566,,,,Custom,E2_Imax,300,B31735,Spine ex-vivo,0.8,2,220,6,7208,0.8394,0.2898,0.3452,-,~    0.129,-,0.0629,0.1933,-,0.0214,0.1128,250.2962,~  801.828,-,-,-,[mg HA/ccm],~    1.471,~    0.291,~    0.198,~   10.405,~   35.704,~    3.536,~    0.056,~    0.226,~    2.466,~    0.125,~    0.308,~    0.137,~    0.075,~   -0.096,~    0.025,~   -0.032,~    0.053,~    0.302,~    0.108,~    0.084,~   -0.003,0.0105,0.0105,0.0105,184,152,47,790,876,165,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010786.00031735],,DK0:[MICROCT.DATA.00010786.00031735],,5071
pilot 1367_femurspine,10780,31716,8/29/2024 13:22,9/23/2024 13:32,V0031547,,,,Custom,E2_Imax,300,B31716,Spine ex-vivo,0.8,2,220,6,7208,1.4084,0.4396,0.3122,-,~    0.948,-,0.1486,!    0.359,-,0.028,!    0.061,275.435,977.9988,-,-,-,[mg HA/ccm],~    2.658,~    0.434,~    0.163,~    6.095,~   14.022,~    1.146,~    0.142,~    0.729,~    4.591,~    0.299,~    1.375,~    0.475,~    0.064,~   -0.292,~    0.008,~   -0.159,~    0.005,~    1.365,~   -0.460,~   -0.103,~   -0.053,0.0105,0.0105,0.0105,280,180,47,814,864,132,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010780.00031716],,DK0:[MICROCT.DATA.00010780.00031716],,5071
pilot 1368_femurspine,10781,31719,9/3/2024 7:12,9/23/2024 13:33,V0031550,,,,Custom,E2_Imax,300,B31719,Spine ex-vivo,0.8,2,220,6,7208,1.3293,0.479,0.3604,-,~    1.748,-,0.1691,0.3389,-,0.0336,0.0641,347.8083,1025.6965,-,-,-,[mg HA/ccm],~    2.735,~    0.472,~    0.172,~    5.863,~   12.412,~    1.071,~    0.161,~    0.772,~    4.282,~    0.299,~    1.281,~    0.454,~   -0.244,~   -0.172,~   -0.010,~    0.046,~   -0.139,~    1.272,~   -0.261,~    0.368,~    0.049,0.0105,0.0105,0.0105,216,240,47,825,956,132,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010781.00031719],,DK0:[MICROCT.DATA.00010781.00031719],,5071
pilot 1369_femurspine,10782,31722,9/3/2024 8:33,9/23/2024 13:34,V0031553,,,,Custom,E2_Imax,300,B31722,Spine ex-vivo,0.8,2,220,6,7208,1.5573,0.5923,0.3803,-,~    2.627,-,0.1439,0.2487,-,0.0416,0.0714,345.7576,960.2032,-,-,-,[mg HA/ccm],~    2.735,~    0.584,~    0.213,~   10.085,~   17.263,~    1.843,~    0.115,~    0.426,~    2.395,~    0.224,~    0.536,~    0.297,~   -0.051,~   -0.215,~   -0.034,~   -0.058,~   -0.070,~    0.529,~   -0.287,~    0.072,~   -0.022,0.0105,0.0105,0.0105,288,180,47,759,929,112,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010782.00031722],,DK0:[MICROCT.DATA.00010782.00031722],,5071
pilot 1372_femurspine,10785,31731,9/3/2024 11:59,9/23/2024 13:36,V0031562,,,,Custom,E2_Imax,300,B31731,Spine ex-vivo,0.8,2,220,6,7208,1.2563,0.4806,0.3826,-,~    1.162,-,0.1687,0.3873,-,0.0314,0.0641,365.0086,1026.6226,-,-,-,[mg HA/ccm],~    2.701,~    0.474,~    0.175,~    5.798,~   12.226,~    1.073,~    0.163,~    0.768,~    5.112,~    0.276,~    1.414,~    0.453,~    0.113,~    0.252,~    0.005,~    0.228,~   -0.071,~   -1.393,~   -0.407,~    0.184,~   -0.076,0.0105,0.0105,0.0105,256,200,47,759,930,132,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010785.00031731],,DK0:[MICROCT.DATA.00010785.00031731],,5071
pilot 1371_femurspine,10784,31728,9/3/2024 10:53,9/23/2024 13:36,V0031559,,,,Custom,E2_Imax,300,B31728,Spine ex-vivo,0.8,2,220,6,7208,1.173,0.4849,0.4134,-,~    2.293,-,0.1855,0.3786,-,0.0436,0.0646,407.0169,1053.4814,-,-,-,[mg HA/ccm],~    2.459,~    0.478,~    0.194,~    5.611,~   11.738,~    1.140,~    0.170,~    0.706,~    3.908,~    0.282,~    1.103,~    0.406,~   -0.266,~   -0.092,~   -0.018,~   -0.019,~   -0.158,~    1.092,~   -0.135,~    0.379,~    0.052,0.0105,0.0105,0.0105,188,248,47,758,932,132,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010784.00031728],,DK0:[MICROCT.DATA.00010784.00031728],,5071
pilot 1373_femurspine,10786,31734,9/3/2024 13:15,9/23/2024 13:37,V0031565,,,,Custom,E2_Imax,300,B31734,Spine ex-vivo,0.8,2,220,6,7208,1.2192,0.4564,0.3743,-,~    2.733,-,0.1573,0.3496,-,0.0467,0.0787,347.8083,1005.7839,-,-,-,[mg HA/ccm],~    2.539,~    0.449,~    0.177,~    6.695,~   14.888,~    1.318,~    0.134,~    0.624,~    2.888,~    0.251,~    0.726,~    0.363,~   -0.119,~   -0.221,~   -0.002,~    0.042,~   -0.029,~    0.724,~   -0.319,~    0.171,~    0.025,0.0105,0.0105,0.0105,236,204,47,784,1021,92,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010786.00031734],,DK0:[MICROCT.DATA.00010786.00031734],,5071
pilot 1367_femurspine,10780,31718,8/29/2024 13:59,9/23/2024 13:38,V0031549,,,,Custom,E2_Imax,300,B31718,Spine ex-vivo,0.8,2,220,6,7208,0.9736,0.4755,0.4884,-,~    0.834,-,0.2276,!    0.010,-,0.0436,!    0.000,509.2922,1122.4148,-,-,-,[mg HA/ccm],~    1.790,~    0.468,~    0.261,~    4.228,~    9.028,~    1.181,~    0.221,~    0.625,~    9.348,~    0.306,~    2.868,~    0.423,~    0.035,~   -0.304,~    0.021,~   -0.252,~    0.172,~    2.851,~   -0.418,~   -0.050,~   -0.034,0.0105,0.0105,0.0105,212,164,46,806,892,4,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010780.00031718],,DK0:[MICROCT.DATA.00010780.00031718],,5071
pilot 1368_femurspine,10781,31721,9/3/2024 7:49,9/23/2024 13:38,V0031552,,,,Custom,E2_Imax,300,B31721,Spine ex-vivo,0.8,2,220,6,7208,0.9336,0.4907,0.5256,-,~    0.876,-,0.2419,!    0.010,-,0.0403,!    0.000,593.5072,1175.1401,-,-,-,[mg HA/ccm],~    1.756,~    0.483,~    0.275,~    4.086,~    8.459,~    1.163,~    0.236,~    0.623,~    8.976,~    0.304,~    2.734,~    0.419,~   -0.279,~   -0.118,~   -0.022,~   -0.064,~   -0.368,~    2.708,~   -0.165,~    0.382,~    0.048,0.0105,0.0105,0.0105,164,208,46,861,909,4,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010781.00031721],,DK0:[MICROCT.DATA.00010781.00031721],,5071
pilot 1370_femurspine,10783,31725,9/3/2024 9:48,9/23/2024 13:40,V0031556,,,,Custom,E2_Imax,300,B31725,Spine ex-vivo,0.8,2,220,6,7208,1.5653,0.5826,0.3722,-,~    2.434,-,0.153,0.3049,-,0.0467,0.0767,343.9714,993.4129,-,-,-,[mg HA/ccm],~    3.058,~    0.573,~    0.187,~    9.209,~   16.048,~    1.505,~    0.124,~    0.539,~    2.185,~    0.249,~    0.544,~    0.333,~   -0.246,~   -0.036,~   -0.000,~    0.007,~   -0.057,~    0.541,~   -0.048,~    0.328,~    0.035,0.0105,0.0105,0.0105,204,284,47,959,929,122,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010783.00031725],,DK0:[MICROCT.DATA.00010783.00031725],,5071
pilot 1369_femurspine,10782,31724,9/3/2024 9:10,9/23/2024 13:41,V0031555,,,,Custom,E2_Imax,300,B31724,Spine ex-vivo,0.8,2,220,6,7208,1.0928,0.5213,0.477,-,~    0.818,-,0.2278,!    0.010,-,0.0405,!    0.000,523.0524,1144.709,-,-,-,[mg HA/ccm],~    1.913,~    0.513,~    0.268,~    4.561,~    8.886,~    1.192,~    0.225,~    0.613,~    8.993,~    0.312,~    2.811,~    0.456,~    0.111,~    0.291,~    0.015,~   -0.252,~   -0.047,~    2.799,~   -0.424,~    0.164,~   -0.035,0.0105,0.0105,0.0105,216,172,46,740,920,4,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010782.00031724],,DK0:[MICROCT.DATA.00010782.00031724],,5071
pilot 1371_femurspine,10784,31730,9/3/2024 11:30,9/23/2024 13:42,V0031561,,,,Custom,E2_Imax,300,B31730,Spine ex-vivo,0.8,2,220,6,7208,0.8961,0.4785,0.534,-,~    0.894,-,0.2412,!    0.010,-,0.0367,!    0.000,597.4765,1171.5015,-,-,-,[mg HA/ccm],~    1.694,~    0.471,~    0.277,~    3.949,~    8.385,~    1.165,~    0.238,~    0.619,~    7.909,~    0.316,~    2.499,~    0.391,~    0.315,~   -0.012,~    0.013,~   -0.112,~   -0.261,~    2.483,~    0.013,~    0.388,~    0.041,0.0105,0.0105,0.0105,168,196,46,755,895,4,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010784.00031730],,DK0:[MICROCT.DATA.00010784.00031730],,5071
pilot 1370_femurspine,10783,31727,9/3/2024 10:25,9/23/2024 13:42,V0031558,,,,Custom,E2_Imax,300,B31727,Spine ex-vivo,0.8,2,220,6,7208,1.1622,0.5747,0.4945,-,~    1.280,-,0.2425,!    0.252,-,0.0501,!    0.034,551.5651,1164.2246,-,-,-,[mg HA/ccm],~    2.189,~    0.565,~    0.258,~    4.804,~    8.494,~    1.097,~    0.235,~    0.675,~    7.379,~    0.318,~    2.351,~    0.459,~    0.315,~    0.027,~    0.031,~   -0.227,~   -0.096,~    2.338,~   -0.041,~    0.457,~    0.014,0.0105,0.0105,0.0105,180,236,46,932,925,4,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010783.00031727],,DK0:[MICROCT.DATA.00010783.00031727],,5071
pilot 1372_femurspine,10785,31733,9/3/2024 12:36,9/23/2024 13:43,V0031564,,,,Custom,E2_Imax,300,B31733,Spine ex-vivo,0.8,2,220,6,7208,0.9442,0.52,0.5508,-,~    0.971,-,0.2593,!    0.015,-,0.0468,!    0.009,617.0583,1169.98,-,-,-,[mg HA/ccm],~    1.625,~    0.511,~    0.314,~    4.119,~    8.048,~    1.267,~    0.248,~    0.540,~    9.333,~    0.305,~    2.847,~    0.420,~    0.178,~    0.247,~    0.012,~    0.345,~   -0.107,~   -2.824,~   -0.337,~    0.245,~   -0.050,0.0105,0.0105,0.0105,188,168,46,718,959,4,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010785.00031733],,DK0:[MICROCT.DATA.00010785.00031733],,5071
pilot 1373_femurspine,10786,31736,9/3/2024 13:52,9/23/2024 13:44,V0031567,,,,Custom,E2_Imax,300,B31736,Spine ex-vivo,0.8,2,220,6,7208,0.8507,0.4958,0.5829,-,~    0.955,-,0.2677,!    0.185,-,0.0503,!    0.032,659.7281,1186.3865,-,-,-,[mg HA/ccm],~    1.630,~    0.488,~    0.299,~    3.843,~    7.875,~    1.178,~    0.254,~    0.594,~    7.359,~    0.302,~    2.223,~    0.393,~   -0.195,~   -0.229,~   -0.026,~   -0.055,~   -0.205,~    2.213,~   -0.300,~    0.254,~    0.016,0.0105,0.0105,0.0105,176,180,46,837,1002,4,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010786.00031736],,DK0:[MICROCT.DATA.00010786.00031736],,5071
pilot 1420_femur spine,10791,31887,9/26/2024 8:06,10/2/2024 10:29,V0031718,,,,Custom,E2_Imax,300,B31887,Spine ex-vivo,0.8,2,220,6,7208,0.9257,0.3492,0.3772,-,~    0.514,-,0.0828,0.2074,-,0.0328,0.083,285.8213,823.0643,-,-,-,[mg HA/ccm],~    2.786,~    0.347,~    0.124,~   10.121,~   29.104,~    1.816,~    0.068,~    0.481,~    2.079,~    0.144,~    0.299,~    0.161,~    0.118,~   -0.077,~    0.027,~   -0.066,~    0.000,~    0.292,~   -0.083,~   -0.136,~   -0.019,0.0105,0.0105,0.0105,220,240,47,681,965,3,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010791.00031887],,DK0:[MICROCT.DATA.00010791.00031887],,5071
pilot 1421_Femur Spine,10792,31890,9/26/2024 9:57,10/2/2024 10:30,V0031721,,,,Custom,E2_Imax,300,B31890,Spine ex-vivo,0.8,2,220,6,7208,0.9439,0.405,0.4291,-,~   -0.020,-,0.0828,0.1678,-,0.0358,0.086,321.6111,793.3608,-,-,-,[mg HA/ccm],~    2.323,~    0.405,~    0.174,~   11.652,~   28.733,~    2.507,~    0.069,~    0.329,~    2.078,~    0.122,~    0.254,~    0.152,~    0.064,~   -0.103,~    0.013,~   -0.007,~   -0.036,~   -0.251,~   -0.129,~   -0.079,~    0.015,0.0105,0.0105,0.0105,216,204,47,736,1048,165,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010792.00031890],,DK0:[MICROCT.DATA.00010792.00031890],,5071
pilot 1422_Femur Spine,10793,31893,9/26/2024 11:34,10/2/2024 10:30,V0031724,,,,Custom,E2_Imax,300,B31893,Spine ex-vivo,0.8,2,220,6,7208,0.9316,0.3777,0.4054,-,~   -0.089,-,0.0709,0.1636,-,0.0234,0.0696,302.5585,788.3992,-,-,-,[mg HA/ccm],~    2.104,~    0.378,~    0.180,~   11.761,~   31.047,~    2.793,~    0.064,~    0.293,~    2.311,~    0.120,~    0.279,~    0.141,~   -0.075,~   -0.094,~   -0.007,~   -0.012,~   -0.012,~    0.278,~   -0.110,~    0.088,~   -0.001,0.0105,0.0105,0.0105,208,192,47,807,1063,165,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010793.00031893],,DK0:[MICROCT.DATA.00010793.00031893],,5071
pilot 1420_femur spine,10791,31886,9/26/2024 7:48,10/2/2024 10:57,V0031717,,,,Custom,E2_Imax,300,B31886,Spine ex-vivo,0.8,2,220,6,7208,1.596,0.5627,0.3526,-,~    2.602,-,0.1476,0.3363,-,0.0346,0.0708,311.1586,924.4135,-,-,-,[mg HA/ccm],~    2.938,~    0.554,~    0.188,~    8.587,~   15.494,~    1.461,~    0.129,~    0.555,~    2.471,~    0.266,~    0.657,~    0.363,~    0.256,~   -0.069,~    0.008,~   -0.011,~   -0.124,~   -0.645,~    0.096,~    0.344,~   -0.067,0.0105,0.0105,0.0105,196,284,47,786,815,132,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010791.00031886],,DK0:[MICROCT.DATA.00010791.00031886],,5071
pilot 1421_Femur Spine,10792,31889,9/26/2024 9:39,10/2/2024 10:58,V0031720,,,,Custom,E2_Imax,300,B31889,Spine ex-vivo,0.8,2,220,6,7208,1.5754,0.7541,0.4787,-,~    1.208,-,0.174,0.2835,-,0.0607,0.0883,429.7079,938.3721,-,-,-,[mg HA/ccm],~    2.857,~    0.744,~    0.260,~   10.469,~   14.056,~    1.832,~    0.142,~    0.403,~    2.164,~    0.229,~    0.495,~    0.276,~   -0.228,~    0.011,~    0.018,~    0.034,~   -0.073,~    0.488,~    0.017,~    0.273,~    0.039,0.0105,0.0105,0.0105,188,288,47,944,890,152,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010792.00031889],,DK0:[MICROCT.DATA.00010792.00031889],,5071
pilot 1422_Femur Spine,10793,31892,9/26/2024 11:16,10/2/2024 10:58,V0031723,,,,Custom,E2_Imax,300,B31892,Spine ex-vivo,0.8,2,220,6,7208,1.487,0.5671,0.3814,-,~    2.706,-,0.1594,0.3151,-,0.0414,0.077,342.6483,940.3568,-,-,-,[mg HA/ccm],~    2.835,~    0.558,~    0.197,~    8.165,~   14.612,~    1.440,~    0.136,~    0.557,~    2.888,~    0.260,~    0.751,~    0.341,~    0.032,~   -0.258,~   -0.002,~    0.065,~    0.001,~    0.748,~   -0.337,~   -0.043,~    0.029,0.0105,0.0105,0.0105,292,184,47,704,1077,152,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010793.00031892],,DK0:[MICROCT.DATA.00010793.00031892],,5071
